i = 1, pred = 0.8584399819374084d0, var = 0.0d0
i = 209.59795, pred = 0.1278061022086302d0, var = 1.1817587507583065d-8
i = 209.79794, pred = 0.12780321044217288d0, var = 1.117483530750774d-8
i = 209.99794, pred = 0.12780028431324336d0, var = 1.0534399066658346d-8
i = 210.19794, pred = 0.12779732611768557d0, var = 9.898445380700346d-9
i = 210.39793, pred = 0.12779433812212138d0, var = 9.269358249615762d-9
i = 210.59793, pred = 0.12779132307143337d0, var = 8.649733723738233d-9
i = 210.79793, pred = 0.12778828426582398d0, var = 8.04236995955904d-9
i = 210.99792, pred = 0.12778522502676515d0, var = 7.450239568555557d-9
i = 211.19792, pred = 0.1277821496240671d0, var = 6.876459669297143d-9
i = 211.39792, pred = 0.12777906297576727d0, var = 6.324245230526985d-9
i = 211.59792, pred = 0.1277759700515269d0, var = 5.796847561347319d-9
i = 211.79791, pred = 0.12777287672174276d0, var = 5.297482364502766d-9
i = 211.99791, pred = 0.12776978956722998d0, var = 4.829241357401233d-9
i = 212.1979, pred = 0.12776671606491574d0, var = 4.39499183132121d-9
i = 212.3979, pred = 0.12776366412856566d0, var = 3.997267846378305d-9
i = 212.5979, pred = 0.12776064243242843d0, var = 3.638155713023038d-9
i = 212.7979, pred = 0.1277576610131029d0, var = 3.3191791311913313d-9
i = 212.9979, pred = 0.12775473024350412d0, var = 3.0411926696009607d-9
i = 213.19789, pred = 0.1277518618720779d0, var = 2.804291741232278d-9
i = 213.39789, pred = 0.1277490686883389d0, var = 2.6077455636915064d-9
i = 213.59789, pred = 0.12774636428329975d0, var = 2.4499636255073843d-9
i = 213.79788, pred = 0.12774376361266485d0, var = 2.3285011666758473d-9
i = 213.99788, pred = 0.127741283151077d0, var = 2.240108333058839d-9
i = 214.19788, pred = 0.1277389399436574d0, var = 2.180825479464735d-9
i = 214.39787, pred = 0.12773675312223523d0, var = 2.146120985144618d-9
i = 214.59787, pred = 0.127734742611953d0, var = 2.1310674256215482d-9
i = 214.79787, pred = 0.12773293018355278d0, var = 2.1305454493987283d-9
i = 214.99786, pred = 0.12773133861516908d0, var = 2.139463363589111d-9
i = 215.19786, pred = 0.12772999220057224d0, var = 2.152978400983294d-9
i = 215.39786, pred = 0.12772891615923018d0, var = 2.166704616899635d-9
i = 215.59785, pred = 0.12772813679593412d0, var = 2.176892116991105d-9
i = 215.79785, pred = 0.12772768074023944d0, var = 2.1805674863807534d-9
i = 215.99785, pred = 0.12772757502883933d0, var = 2.1756233106740993d-9
i = 216.19785, pred = 0.12772784606423288d0, var = 2.1608527911511544d-9
i = 216.39784, pred = 0.12772851929339632d0, var = 2.1359281932350088d-9
i = 216.59784, pred = 0.12772961836720917d0, var = 2.101325161774365d-9
i = 216.79784, pred = 0.12773116363334655d0, var = 2.05820138297478d-9
i = 216.99783, pred = 0.1277331720448306d0, var = 2.0082413424870615d-9
i = 217.19783, pred = 0.12773565528011818d0, var = 1.9534793292582736d-9
i = 217.39783, pred = 0.12773861854606358d0, var = 1.8961177619389054d-9
i = 217.59782, pred = 0.12774206033032606d0, var = 1.8383554645050503d-9
i = 217.79782, pred = 0.1277459701229413d0, var = 1.7822390264754482d-9
i = 217.99782, pred = 0.12775032841136186d0, var = 1.729548410581161d-9
i = 218.19781, pred = 0.1277551053073581d0, var = 1.6817238447134468d-9
i = 218.39781, pred = 0.12776026022177675d0, var = 1.6398333455763456d-9
i = 218.59781, pred = 0.12776574276139782d0, var = 1.6045792197032563d-9
i = 218.7978, pred = 0.12777149157110784d0, var = 1.57633551412833d-9
i = 218.9978, pred = 0.1277774362877136d0, var = 1.5552055416679564d-9
i = 219.1978, pred = 0.12778349891021062d0, var = 1.541087962341717d-9
i = 219.3978, pred = 0.12778959559007938d0, var = 1.5337394016625147d-9
i = 219.5978, pred = 0.12779563860879598d0, var = 1.5328245894220465d-9
i = 219.79779, pred = 0.12780153895381408d0, var = 1.5379467603059287d-9
i = 219.99779, pred = 0.12780721038244233d0, var = 1.5486566696091925d-9
i = 220.19778, pred = 0.12781257102235555d0, var = 1.5644408815979213d-9
i = 220.39778, pred = 0.12781754766225584d0, var = 1.5846965617758924d-9
i = 220.59778, pred = 0.12782207699011097d0, var = 1.6086990674452961d-9
i = 220.79778, pred = 0.12782610998891147d0, var = 1.6355739626845928d-9
i = 220.99777, pred = 0.12782961251431454d0, var = 1.6642827582211357d-9
i = 221.19777, pred = 0.12783256721856825d0, var = 1.693629762394802d-9
i = 221.39777, pred = 0.1278349741299008d0, var = 1.72229567462106d-9
i = 221.59776, pred = 0.12783685144366821d0, var = 1.7488978961469784d-9
i = 221.79776, pred = 0.12783823403469344d0, var = 1.7720726238928012d-9
i = 221.99776, pred = 0.12783917269520936d0, var = 1.7905723618292995d-9
i = 222.19775, pred = 0.12783973306918972d0, var = 1.8033644805676068d-9
i = 222.39775, pred = 0.12783999211601701d0, var = 1.8097208351814753d-9
i = 222.59775, pred = 0.1278400361795185d0, var = 1.809283223082189d-9
i = 222.79774, pred = 0.12783995858020605d0, var = 1.8020980010715205d-9
i = 222.99774, pred = 0.1278398557413404d0, var = 1.7886130110409428d-9
i = 223.19774, pred = 0.12783982424020165d0, var = 1.7696359993179715d-9
i = 223.39774, pred = 0.12783995824303193d0, var = 1.7462596361413887d-9
i = 223.59773, pred = 0.12784034548902984d0, var = 1.719764201520312d-9
i = 223.79773, pred = 0.12784106597318526d0, var = 1.6915069088687655d-9
i = 223.99773, pred = 0.1278421879224342d0, var = 1.6628126868445042d-9
i = 224.19772, pred = 0.12784376668617725d0, var = 1.634880301346135d-9
i = 224.39772, pred = 0.12784584281372863d0, var = 1.6087089745156185d-9
i = 224.59772, pred = 0.12784844110005755d0, var = 1.5850573581029042d-9
i = 224.79771, pred = 0.12785156881162074d0, var = 1.5644315821483344d-9
i = 224.99771, pred = 0.12785521717711545d0, var = 1.5471037576545388d-9
i = 225.19771, pred = 0.12785936029052905d0, var = 1.5331524772815217d-9
i = 225.3977, pred = 0.12786395719468147d0, var = 1.522519986868319d-9
i = 225.5977, pred = 0.12786895256643177d0, var = 1.515074700259817d-9
i = 225.7977, pred = 0.12787427934005227d0, var = 1.510671119245317d-9
i = 225.9977, pred = 0.12787986070528115d0, var = 1.5091994000299588d-9
i = 226.1977, pred = 0.12788561299411727d0, var = 1.5106171920464936d-9
i = 226.39769, pred = 0.12789144934483196d0, var = 1.5149608592257368d-9
i = 226.59769, pred = 0.12789728203577982d0, var = 1.5223345619302964d-9
i = 226.79768, pred = 0.1279030269226616d0, var = 1.5328778885007404d-9
i = 226.99768, pred = 0.12790860599838355d0, var = 1.5467168724439993d-9
i = 227.19768, pred = 0.12791395039305328d0, var = 1.5639037531379507d-9
i = 227.39767, pred = 0.1279190039353414d0, var = 1.5843548161403295d-9
i = 227.59767, pred = 0.12792372506163788d0, var = 1.6077935003512577d-9
i = 227.79767, pred = 0.12792808840804482d0, var = 1.6337096826637186d-9
i = 227.99767, pred = 0.12793208632352945d0, var = 1.6613422722927254d-9
i = 228.19766, pred = 0.12793572931555175d0, var = 1.6896906141528987d-9
i = 228.39766, pred = 0.12793904488657049d0, var = 1.7175580328751128d-9
i = 228.59766, pred = 0.1279420780100058d0, var = 1.7436242413685816d-9
i = 228.79765, pred = 0.12794488832139114d0, var = 1.7665415809883408d-9
i = 228.99765, pred = 0.12794754701007174d0, var = 1.7850452401020377d-9
i = 229.19765, pred = 0.12795013577326741d0, var = 1.798063715024949d-9
i = 229.39764, pred = 0.12795274163527476d0, var = 1.8048185031236227d-9
i = 229.59764, pred = 0.12795545383095885d0, var = 1.8048981059544752d-9
i = 229.79764, pred = 0.1279583606144752d0, var = 1.798297075669394d-9
i = 229.99763, pred = 0.12796154422223896d0, var = 1.7854182664437297d-9
i = 230.19763, pred = 0.12796507905223412d0, var = 1.7670318777163152d-9
i = 230.39763, pred = 0.12796902727596912d0, var = 1.744203436205711d-9
i = 230.59763, pred = 0.12797343776605788d0, var = 1.718194300332d-9
i = 230.79762, pred = 0.12797834316732792d0, var = 1.6903513456656762d-9
i = 230.99762, pred = 0.12798375970466797d0, var = 1.6619970623640073d-9
i = 231.19762, pred = 0.12798968731935698d0, var = 1.6343318026791003d-9
i = 231.39761, pred = 0.1279961095597683d0, var = 1.6083616900146373d-9
i = 231.59761, pred = 0.1280029957066421d0, var = 1.5848540750056724d-9
i = 231.7976, pred = 0.12801030209849334d0, var = 1.5643253124738035d-9
i = 231.9976, pred = 0.1280179747979909d0, var = 1.547057441707898d-9
i = 232.1976, pred = 0.12802595132384317d0, var = 1.5331389434666786d-9
i = 232.3976, pred = 0.12803416392054381d0, var = 1.5225203427403324d-9
i = 232.5976, pred = 0.12804254093954365d0, var = 1.5150769129276784d-9
i = 232.79759, pred = 0.1280510097468243d0, var = 1.5106687025777451d-9
i = 232.99759, pred = 0.12805949749553935d0, var = 1.5091896886828707d-9
i = 233.19759, pred = 0.12806793281131482d0, var = 1.5106001462032281d-9
i = 233.39758, pred = 0.12807624700153483d0, var = 1.5149379732048772d-9
i = 233.59758, pred = 0.12808437480419477d0, var = 1.5223079610603015d-9
i = 233.79758, pred = 0.12809225449319137d0, var = 1.5328497629425212d-9
i = 233.99757, pred = 0.1280998295803221d0, var = 1.546688976656833d-9
i = 234.19757, pred = 0.12810704870027445d0, var = 1.563877611640222d-9
i = 234.39757, pred = 0.12811386648099005d0, var = 1.584331090301564d-9
i = 234.59756, pred = 0.12812024489578222d0, var = 1.6077724056765733d-9
i = 234.79756, pred = 0.12812615306760158d0, var = 1.633690790372369d-9
i = 234.99756, pred = 0.12813156912079027d0, var = 1.6613248469089d-9
i = 235.19756, pred = 0.12813648048720178d0, var = 1.6896740882489263d-9
i = 235.39755, pred = 0.12814088457236586d0, var = 1.717541805381878d-9
i = 235.59755, pred = 0.1281447883133016d0, var = 1.7436081476362224d-9
i = 235.79755, pred = 0.12814820995278747d0, var = 1.7665266911094072d-9
i = 235.99754, pred = 0.12815117628221423d0, var = 1.7850338867296386d-9
i = 236.19754, pred = 0.12815372387627955d0, var = 1.7980607475306898d-9
i = 236.39754, pred = 0.1281558972636854d0, var = 1.8048314643898572d-9
i = 236.59753, pred = 0.12815774729529697d0, var = 1.8049376629593376d-9
i = 236.79753, pred = 0.12815933040716196d0, var = 1.7983786607402021d-9
i = 236.99753, pred = 0.12816070668508922d0, var = 1.7855603713021047d-9
i = 237.19753, pred = 0.12816193752008057d0, var = 1.7672575084398898d-9
i = 237.39752, pred = 0.12816308513312694d0, var = 1.744537950965895d-9
i = 237.59752, pred = 0.12816420991899247d0, var = 1.7186639513245434d-9
i = 237.79752, pred = 0.12816537011095577d0, var = 1.6909802963638253d-9
i = 237.99751, pred = 0.12816661924649533d0, var = 1.6628030572294723d-9
i = 238.19751, pred = 0.1281680063293241d0, var = 1.635322125667231d-9
i = 238.3975, pred = 0.12816957390603503d0, var = 1.609527093134325d-9
i = 238.5975, pred = 0.12817135767354038d0, var = 1.586164500881056d-9
i = 238.7975, pred = 0.12817338593374134d0, var = 1.5657262961362278d-9
i = 238.9975, pred = 0.12817567908645877d0, var = 1.5484698878284185d-9
i = 239.1975, pred = 0.12817824890914015d0, var = 1.5344633706777465d-9
i = 239.39749, pred = 0.1281810986733124d0, var = 1.523648246460265d-9
i = 239.59749, pred = 0.12818422327496917d0, var = 1.5159105903862525d-9
i = 239.79749, pred = 0.1281876089299706d0, var = 1.511151566785935d-9
i = 239.99748, pred = 0.12819123385029646d0, var = 1.5093480705194914d-9
i = 240.19748, pred = 0.12819506917247692d0, var = 1.5105965300241228d-9
i = 240.39748, pred = 0.12819907976715397d0, var = 1.5151335772327625d-9
i = 240.59747, pred = 0.12820322532724246d0, var = 1.523331882607953d-9
i = 240.79747, pred = 0.1282074624759495d0, var = 1.5356688359148655d-9
i = 240.99747, pred = 0.12821174572622226d0, var = 1.552670880078944d-9
i = 241.19746, pred = 0.12821603015906521d0, var = 1.5748377974816145d-9
i = 241.39746, pred = 0.12822027288805457d0, var = 1.602554248797852d-9
i = 241.59746, pred = 0.1282244346734911d0, var = 1.6359972050899408d-9
i = 241.79745, pred = 0.12822848204831658d0, var = 1.6750500663077189d-9
i = 241.99745, pred = 0.1282323882896102d0, var = 1.7192343593605115d-9
i = 242.19745, pred = 0.12823613490356534d0, var = 1.7676696395554618d-9
i = 242.39745, pred = 0.12823971170915213d0, var = 1.8190666878638858d-9
i = 242.59744, pred = 0.1282431179301961d0, var = 1.871763402193183d-9
i = 242.79744, pred = 0.12824636167377299d0, var = 1.923798781734537d-9
i = 242.99744, pred = 0.12824945992801892d0, var = 1.973023694086994d-9
i = 243.19743, pred = 0.12825243775697653d0, var = 2.0172390121812727d-9
i = 243.39743, pred = 0.1282553280393364d0, var = 2.054348682928632d-9
i = 243.59743, pred = 0.12825816945248908d0, var = 2.082513673182644d-9
i = 243.79742, pred = 0.12826100649065283d0, var = 2.1002924175072457d-9
i = 243.99742, pred = 0.12826388720623116d0, var = 2.1067518649797737d-9
i = 244.19742, pred = 0.1282668628779907d0, var = 2.1015411894055747d-9
i = 244.39742, pred = 0.12826998561721054d0, var = 2.0849190596793093d-9
i = 244.59741, pred = 0.12827330787674932d0, var = 2.057730248378104d-9
i = 244.79741, pred = 0.1282768803341107d0, var = 2.021340027925786d-9
i = 244.9974, pred = 0.12828075133618178d0, var = 1.977525403261762d-9
i = 245.1974, pred = 0.1282849650527258d0, var = 1.9283440407183416d-9
i = 245.3974, pred = 0.12828956000985614d0, var = 1.875984372161491d-9
i = 245.5974, pred = 0.12829456927191887d0, var = 1.8226214204560451d-9
i = 245.7974, pred = 0.12830001778584427d0, var = 1.7702848581626252d-9
i = 245.99739, pred = 0.12830592278969d0, var = 1.7207552282549058d-9
i = 246.19739, pred = 0.12831229288835277d0, var = 1.6754938848923704d-9
i = 246.39738, pred = 0.12831912711162755d0, var = 1.6356105500739558d-9
i = 246.59738, pred = 0.1283264159974967d0, var = 1.6018653931306955d-9
i = 246.79738, pred = 0.12833414037663857d0, var = 1.5747018789292387d-9
i = 246.99738, pred = 0.12834227257491637d0, var = 1.5542978261865573d-9
i = 247.19737, pred = 0.128350776081142d0, var = 1.5406263658921481d-9
i = 247.39737, pred = 0.1283596069869701d0, var = 1.5335138873120464d-9
i = 247.59737, pred = 0.1283687136458395d0, var = 1.5326869936806707d-9
i = 247.79736, pred = 0.12837803853376137d0, var = 1.537801049149839d-9
i = 247.99736, pred = 0.12838751767917045d0, var = 1.5484482903939456d-9
i = 248.19736, pred = 0.1283970820888512d0, var = 1.5641468084612553d-9
i = 248.39735, pred = 0.12840665798976728d0, var = 1.5843155062441718d-9
i = 248.59735, pred = 0.12841616745488818d0, var = 1.6082440302274287d-9
i = 248.79735, pred = 0.12842552872763366d0, var = 1.6350656701343364d-9
i = 248.99734, pred = 0.12843465682045446d0, var = 1.6637450145239348d-9
i = 249.19734, pred = 0.1284434639543835d0, var = 1.6930861372178247d-9
i = 249.39734, pred = 0.1284518605933376d0, var = 1.7217672392916793d-9
i = 249.59734, pred = 0.12845975631875328d0, var = 1.7484018350314906d-9
i = 249.79733, pred = 0.12846706116012618d0, var = 1.7716222529956338d-9
i = 249.99733, pred = 0.12847368712795124d0, var = 1.7901765248295942d-9
i = 250.19733, pred = 0.12847955049990037d0, var = 1.8030282359676628d-9
i = 250.39732, pred = 0.12848457360374427d0, var = 1.80944527241927d-9
i = 250.59732, pred = 0.12848868755358453d0, var = 1.8090666836945699d-9
i = 250.79732, pred = 0.1284918350624682d0, var = 1.8019366728029645d-9
i = 250.99731, pred = 0.12849397232844276d0, var = 1.7885011184210425d-9
i = 251.19731, pred = 0.12849507242270203d0, var = 1.7695664872936896d-9
i = 251.39731, pred = 0.12849512631404736d0, var = 1.7462250035799342d-9
i = 251.5973, pred = 0.12849414475632884d0, var = 1.7197568464049638d-9
i = 251.7973, pred = 0.128492159604654d0, var = 1.6915192835783997d-9
i = 251.9973, pred = 0.12848922330996618d0, var = 1.6628385865769479d-9
i = 252.1973, pred = 0.12848540820462195d0, var = 1.6349137707710195d-9
i = 252.3973, pred = 0.12848080500206346d0, var = 1.6087454513007726d-9
i = 252.59729, pred = 0.12847552012490218d0, var = 1.5850932718489381d-9
i = 252.79729, pred = 0.1284696723050812d0, var = 1.564464485387343d-9
i = 252.99728, pred = 0.12846338959617506d0, var = 1.5471319006667837d-9
i = 253.19728, pred = 0.12845680382883992d0, var = 1.5331750061896154d-9
i = 253.39728, pred = 0.12845004800137022d0, var = 1.5225365424501674d-9
i = 253.59727, pred = 0.12844325107185783d0, var = 1.5150850823006548d-9
i = 253.79727, pred = 0.12843653412067205d0, var = 1.5106754734089094d-9
i = 253.99727, pred = 0.1284300082409322d0, var = 1.5091977494359745d-9
i = 254.19727, pred = 0.12842377007310615d0, var = 1.5106094034532921d-9
i = 254.39726, pred = 0.12841790200815922d0, var = 1.5149468086981164d-9
i = 254.59726, pred = 0.12841246934501754d0, var = 1.522313929079631d-9
i = 254.79726, pred = 0.12840752120326457d0, var = 1.5328503684236274d-9
i = 254.99725, pred = 0.1284030899224882d0, var = 1.5466821140740008d-9
i = 255.19725, pred = 0.12839919278179004d0, var = 1.5638618975323544d-9
i = 255.39725, pred = 0.12839583374801392d0, var = 1.5843060354438483d-9
i = 255.59724, pred = 0.12839300439286952d0, var = 1.6077386317370404d-9
i = 255.79724, pred = 0.12839068753315497d0, var = 1.63365001975631d-9
i = 255.99724, pred = 0.12838885815268467d0, var = 1.6612796139385866d-9
i = 256.19724, pred = 0.12838748610890263d0, var = 1.6896273801066887d-9
i = 256.39725, pred = 0.12838653893712845d0, var = 1.7174990595857406d-9
i = 256.59726, pred = 0.12838598320665576d0, var = 1.7435719958301983d-9
i = 256.79727, pred = 0.1283857859970252d0, var = 1.7664981306269522d-9
i = 256.99728, pred = 0.1283859165486795d0, var = 1.785012213090641d-9
i = 257.1973, pred = 0.1283863474146246d0, var = 1.7980422245137078d-9
i = 257.3973, pred = 0.1283870546707013d0, var = 1.804808661129973d-9
i = 257.59732, pred = 0.12838801923367157d0, var = 1.8048990742107516d-9
i = 257.79733, pred = 0.12838922570230943d0, var = 1.7983079222512473d-9
i = 257.99734, pred = 0.1283906633943899d0, var = 1.7854369871412202d-9
i = 258.19736, pred = 0.1283923255070048d0, var = 1.7670565615453296d-9
i = 258.39737, pred = 0.12839420876469923d0, var = 1.7442315478503004d-9
i = 258.59738, pred = 0.12839631292594075d0, var = 1.7182238536646133d-9
i = 258.7974, pred = 0.12839863987640912d0, var = 1.6903804888458998d-9
i = 258.9974, pred = 0.1284011928566948d0, var = 1.6620240597734676d-9
i = 259.19742, pred = 0.1284039762784955d0, var = 1.634355826746742d-9
i = 259.39743, pred = 0.12840699484013457d0, var = 1.6083820803802023d-9
i = 259.59744, pred = 0.12841025272875264d0, var = 1.5848705612865371d-9
i = 259.79745, pred = 0.1284137533060311d0, var = 1.564337995105146d-9
i = 259.99747, pred = 0.12841749946969486d0, var = 1.5470666305893407d-9
i = 260.19748, pred = 0.12842149276474515d0, var = 1.5331450808686021d-9
i = 260.3975, pred = 0.1284257341076469d0, var = 1.52252384284012d-9
i = 260.5975, pred = 0.12843022364053022d0, var = 1.5150782343904066d-9
i = 260.79752, pred = 0.1284349623913552d0, var = 1.5106681532873007d-9
i = 260.99753, pred = 0.12843995051257315d0, var = 1.5091875398140966d-9
i = 261.19754, pred = 0.12844519055469877d0, var = 1.5105965569934556d-9
i = 261.39755, pred = 0.1284506858106501d0, var = 1.5149331446849702d-9
i = 261.59756, pred = 0.1284564421714103d0, var = 1.5223020756947408d-9
i = 261.79758, pred = 0.1284624675515589d0, var = 1.532843114732359d-9
i = 261.9976, pred = 0.12846877219827277d0, var = 1.5466819897694222d-9
i = 262.1976, pred = 0.12847536863461342d0, var = 1.563870852930752d-9
i = 262.3976, pred = 0.1284822710508622d0, var = 1.5843253082849703d-9
i = 262.59763, pred = 0.12848949458894493d0, var = 1.6077684119984434d-9
i = 262.79764, pred = 0.12849705481364837d0, var = 1.6336894613718082d-9
i = 262.99765, pred = 0.12850496659573535d0, var = 1.6613270973908066d-9
i = 263.19766, pred = 0.12851324294762514d0, var = 1.6896802422535906d-9
i = 263.39767, pred = 0.12852189410587084d0, var = 1.7175517961786935d-9
i = 263.5977, pred = 0.12853092672583769d0, var = 1.7436213843905924d-9
i = 263.7977, pred = 0.1285403423079593d0, var = 1.7665408309327162d-9
i = 263.9977, pred = 0.12855013728560669d0, var = 1.7850451542456863d-9
i = 264.19772, pred = 0.12856030095786203d0, var = 1.7980630452112482d-9
i = 264.39774, pred = 0.12857081621773453d0, var = 1.8048158888617797d-9
i = 264.59775, pred = 0.12858165809996894d0, var = 1.8048922215016247d-9
i = 264.79776, pred = 0.1285927932860456d0, var = 1.7982870820747789d-9
i = 264.99777, pred = 0.12860418065576448d0, var = 1.7854033306129348d-9
i = 265.19778, pred = 0.12861577006781008d0, var = 1.7670121507049417d-9
i = 265.3978, pred = 0.12862750327124012d0, var = 1.7441789694441868d-9
i = 265.5978, pred = 0.1286393134421518d0, var = 1.7181657800747766d-9
i = 265.79782, pred = 0.1286511258165385d0, var = 1.6903200213961466d-9
i = 265.99783, pred = 0.1286628587352776d0, var = 1.66196385245063d-9
i = 266.19785, pred = 0.12867442408185684d0, var = 1.634298140685258d-9
i = 266.39786, pred = 0.12868572885215482d0, var = 1.6083288821581018d-9
i = 266.59787, pred = 0.12869667693633619d0, var = 1.5848232634930919d-9
i = 266.79788, pred = 0.12870717060169487d0, var = 1.564297396998456d-9
i = 266.9979, pred = 0.12871711333162011d0, var = 1.5470332038391346d-9
i = 267.1979, pred = 0.12872641180120983d0, var = 1.5331188239610887d-9
i = 267.39792, pred = 0.1287349789034756d0, var = 1.5225046095424555d-9
i = 267.59793, pred = 0.1287427363645452d0, var = 1.5150658705479908d-9
i = 267.79794, pred = 0.1287496173842938d0, var = 1.5106625124362442d-9
i = 267.99796, pred = 0.1287555698130971d0, var = 1.5091886993131645d-9
i = 268.19797, pred = 0.12876055781276485d0, var = 1.5106046835975018d-9
i = 268.39798, pred = 0.12876456459559224d0, var = 1.514948638102118d-9
i = 268.598, pred = 0.12876759314839709d0, var = 1.5223254438011604d-9
i = 268.798, pred = 0.1287696680808335d0, var = 1.5328748220497435d-9
i = 268.99802, pred = 0.12877083462832503d0, var = 1.5467223908546522d-9
i = 269.19803, pred = 0.12877115921351176d0, var = 1.5639197605932565d-9
i = 269.39804, pred = 0.1287707271014243d0, var = 1.5843821333658244d-9
i = 269.59805, pred = 0.1287696410475318d0, var = 1.6078317651357448d-9
i = 269.79807, pred = 0.12876801821917297d0, var = 1.6337572974462506d-9
i = 269.99808, pred = 0.12876598753353857d0, var = 1.6613966935845152d-9
i = 270.1981, pred = 0.1287636858390766d0, var = 1.689748340080942d-9
i = 270.3981, pred = 0.12876125444491912d0, var = 1.7176149476836657d-9
i = 270.5981, pred = 0.12875883548063285d0, var = 1.7436764057262562d-9
i = 270.79813, pred = 0.12875656821606854d0, var = 1.7665857137280583d-9
i = 270.99814, pred = 0.12875458671557055d0, var = 1.7850796007237118d-9
i = 271.19815, pred = 0.1287530152257573d0, var = 1.7980896005950415d-9
i = 271.39816, pred = 0.1287519671368498d0, var = 1.8048406032365877d-9
i = 271.59818, pred = 0.12875154125062413d0, var = 1.8049255820893143d-9
i = 271.7982, pred = 0.12875182098862342d0, var = 1.7983448070558038d-9
i = 271.9982, pred = 0.12875287133206095d0, var = 1.785505955217654d-9
i = 272.1982, pred = 0.12875473942992274d0, var = 1.7671848898710135d-9
i = 272.39822, pred = 0.12875745170752878d0, var = 1.7444504129118994d-9
i = 272.59824, pred = 0.12876101494477948d0, var = 1.718565704240883d-9
i = 272.79825, pred = 0.12876541533946984d0, var = 1.690876096736892d-9
i = 272.99826, pred = 0.1287706196245768d0, var = 1.6626972334931253d-9
i = 273.19827, pred = 0.12877657567430703d0, var = 1.6352190028871337d-9
i = 273.3983, pred = 0.12878321424034536d0, var = 1.6094302132563303d-9
i = 273.5983, pred = 0.1287904508997245d0, var = 1.5860765742837864d-9
i = 273.7983, pred = 0.12879818807373083d0, var = 1.5656492486826698d-9
i = 273.99832, pred = 0.12880631897659187d0, var = 1.5484048863980937d-9
i = 274.19833, pred = 0.1288147292297503d0, var = 1.534410861699365d-9
i = 274.39835, pred = 0.12882330087223667d0, var = 1.5236082070330177d-9
i = 274.59836, pred = 0.12883191490484486d0, var = 1.515883011830911d-9
i = 274.79837, pred = 0.12884045506888717d0, var = 1.511136606390626d-9
i = 274.99838, pred = 0.12884880930506773d0, var = 1.509346283172894d-9
i = 275.1984, pred = 0.1288568737209552d0, var = 1.5106091328829338d-9
i = 275.3984, pred = 0.1288645531876175d0, var = 1.515162460045089d-9
i = 275.59842, pred = 0.12887176417078613d0, var = 1.5233796515374548d-9
i = 275.79843, pred = 0.12887843547498204d0, var = 1.5357384884434405d-9
i = 275.99844, pred = 0.12888450865658937d0, var = 1.5527656315413931d-9
i = 276.19846, pred = 0.12888994001507612d0, var = 1.5749607539290419d-9
i = 276.39847, pred = 0.1288946989004907d0, var = 1.6027076282733764d-9
i = 276.59848, pred = 0.12889876918434967d0, var = 1.6361820622858085d-9
i = 276.7985, pred = 0.12890214878476144d0, var = 1.675265732994997d-9
i = 276.9985, pred = 0.12890484862842555d0, var = 1.7194782004960319d-9
i = 277.19852, pred = 0.12890689184220322d0, var = 1.7679364338986662d-9
i = 277.39853, pred = 0.12890831400349334d0, var = 1.8193491242856146d-9
i = 277.59854, pred = 0.12890916059287952d0, var = 1.8720515536497074d-9
i = 277.79855, pred = 0.1289094872151444d0, var = 1.9240812876821473d-9
i = 277.99857, pred = 0.12890935792459937d0, var = 1.973287806224827d-9
i = 278.19858, pred = 0.12890884256525817d0, var = 2.017471767347356d-9
i = 278.3986, pred = 0.12890801726632808d0, var = 2.054537601156549d-9
i = 278.5986, pred = 0.12890696114254058d0, var = 2.0826479312879154d-9
i = 278.7986, pred = 0.1289057556689884d0, var = 2.1003630434963074d-9
i = 278.99863, pred = 0.12890448215178918d0, var = 2.1067536021888443d-9
i = 279.19864, pred = 0.12890322049559205d0, var = 2.1014719309953976d-9
i = 279.39865, pred = 0.1289020472618687d0, var = 2.0847804875769417d-9
i = 279.59866, pred = 0.12890103421340646d0, var = 2.057527896794016d-9
i = 279.79868, pred = 0.12890024637449876d0, var = 2.0210821771598803d-9
i = 279.9987, pred = 0.12889974035841495d0, var = 1.977223689346872d-9
i = 280.1987, pred = 0.12889956309689718d0, var = 1.9280110024355536d-9
i = 280.3987, pred = 0.12889975157446668d0, var = 1.875634067545462d-9
i = 280.59872, pred = 0.12890033059091613d0, var = 1.822267446651204d-9
i = 280.79874, pred = 0.1289013131745107d0, var = 1.769940143654543d-9
i = 280.99875, pred = 0.12890270047318572d0, var = 1.7204312752164585d-9
i = 281.19876, pred = 0.12890448150101944d0, var = 1.6751999262706193d-9
i = 281.39877, pred = 0.12890663455042586d0, var = 1.63535370947286d-9
i = 281.5988, pred = 0.12890912708714355d0, var = 1.6016508771684017d-9
i = 281.7988, pred = 0.12891191856840753d0, var = 1.5745327274639785d-9
i = 281.9988, pred = 0.128914960686837d0, var = 1.5541755674704449d-9
i = 282.19882, pred = 0.12891820031634707d0, var = 1.5405511298725148d-9
i = 282.39883, pred = 0.12892158098891798d0, var = 1.5334850465021757d-9
i = 282.59885, pred = 0.12892504481836828d0, var = 1.5327032154660495d-9
i = 282.79886, pred = 0.12892853429932968d0, var = 1.5378604467478042d-9
i = 282.99887, pred = 0.12893199451722884d0, var = 1.5485484000353797d-9
i = 283.19888, pred = 0.12893537436668684d0, var = 1.5642843294477279d-9
i = 283.3989, pred = 0.1289386281293919d0, var = 1.5844862993243064d-9
